Course Prefix,Course Number,Statewide Course Title,H.S. Credit,H.S. Grad Code,GE Core Subject Area
PHY,X020,Fundamentals of Physics (GE Core),0.5,EQ,Natural Science
PHY,X020/L,Fundamentals of Physics (GE Core),0.5,EQ,Natural  Science
PHY,X020C,Fundamentals of Physics (GE Core),1,EQ,Natural Science
PHY,X048,General Physics W/Calculus I (2 Sem Seq.) (GE Core),0.5,EQ,Natural Science
PHY,X048/L,General Physics W/Calculus I (2 Sem Seq.) (GE  Core),0.5,EQ,Natural  Science
PHY,X048C,General Physics W/Calculus I (2 Sem Seq.) (GE Core),1,EQ,Natural Science
PHY,X053,General Physics I (2 Sem Seq) (GE Core),0.5,EQ,Natural Science
PHY,X053/L,General Physics I (2 Sem Seq) (GE Core),0.5,EQ,Natural  Science
PHY,X053C,General Physics I (2 Sem Seq) (GE Core),1,EQ,Natural  Science
POS,X041,American Government 1 (GE Core),0.5,AG,Social Sciences
PSY,X012,Introduction to Psychology (L) (GE Core),0.5,EL,Social Sciences
PSY,X012/L,General Psychology Lab,0.5,EL,Social Sciences
STA,X023,Statistical Methods (GE Core),1,MA,Mathematics
THE,X000,Theatre Appreciation (GE Core),0.5,PF,Humanities
Course Prefix,Course Number,Statewide Course Title,H.S. Credit,H.S. Grad Code,
ACG,X001,Principles of Accounting I,0.5,EL,
ACG,X021,Accounting Prin-(Condensed)(3 Credits),0.5,EL,
AMH,X035,Survey Of U.S. History: 1945 - Present,0.5,AH,
AMH,X041,Survey of the American Experience I,0.5,AH,
AMH,X042,Survey of Social and Cult Hist Since 1865,0.5,AH,
AMH,X541,U.S. Military History to 1900,0.5,EL,
AML,X010,Colonial to The Civil War/Reconstruction,1,EN,
AML,X011,Colonial to 1875,1,EN,
AML,X020,Civil War to Present,1,EN,
AML,X021,1875 to Present,1,EN,
AML,X050,Contemporary American Literature,1,EN,
AML,X060,Contemporary American Literature,1,EN,
AML,X070,Survey of American Literature,0.5,EN,
AML,X301,Studies in Individual American Authors,1,EN,
AML,X410,Issues in American Literature and Culture,0.5,EN,
AML,X600,Introduction to African American Literature,0.5,EN,
AMT,X765,Aviation Maintenance Airframe Technician 1,3,CT,
ARA,X120,Modern Arabic I,1,EL,
ARA,X121,Elementary Arabic II Concentrated,1,EL,
ARA,X130,Elementary Arabic Accelerated I,1,EL,
ARA,X131,Elementary Arabic Accelerated II,1,EL,
ARA,X200,Intm Lang: Gen Rev Basic Skills I,0.5,EL,
ARA,X201,Intm Lang: Gen Rev Basic Skills II,0.5,EL,
ARA,X220,Intermediate Arabic I,1,EL,
ARA,X221,Intermediate Arabic Reading and Conversation II,1,EL,
ARC,X301,Design I,0.5,PF,
ARC,X701,Survey of Architectural Development,0.5,PF,
ARC,X702,Survey of Arch Development (Cont.),0.5,PF,
ARH,X002,The Artistic Experience,0.5,PF,
ARH,X050,Introduction to Art History I,0.5,PF,
ARH,X051,Introduction to Art History II,0.5,PF,
ARH,X060,The History of Architecture,0.5,PF,
ARH,X500,Introduction to Non-Western Art,0.5,PF,
ART,X001,Intro. to Studio Art for Nonmajors,0.5,PF,
ART,X100,"Crafts I, Lower",0.5,PF,
ART,X150,"Metals I, Lower",0.5,PF,
ART,X201,"Design I, Lower",0.5,PF,
ART,X202,"Design II, Lower (2-D)",0.5,PF,
ART,X203,"Design III, Lower (3-D)",0.5,PF,
ART,X203C,Design II (3-D),1,PF,
ART,X205,"Color and Composition, Lower",0.5,PF,
ART,X300,"Drawing I, Lower",0.5,PF,
ART,X300C,Drawing I,1,PF,
ART,X301,Drawing II,0.5,PF,
ART,X302,"Drawing III, Lower",0.5,PF,
ART,X310,"Drawing I, Upper",0.5,PF,
ART,X330,"Life Drawing I, Lower",0.5,PF,
ART,X332,"Figure Drawing I, Upper",0.5,PF,
ART,X340,Drawing Techniques,0.5,PF,
ART,X400,"Printmaking I, Lower",0.5,PF,
ART,X401,Printmaking II,0.5,PF,
ART,X500,"Painting I, Lower",0.5,PF,
ART,X501,Painting II,0.5,PF,
ART,X600,Introduction to Electronic Media,0.5,PF,
ART,X602,Digital Imaging,0.5,PF,
ART,X701,Sculpture I,0.5,PF,
ART,X702,Sculpture II,0.5,PF,
ART,X710,Advanced Sculpture,0.5,PF,
ART,X750,Ceramics I,0.5,PF,
ART,X751,Ceramics II,0.5,PF,
ART,X752,Wheel Throwing I,0.5,PF,
ART,X753,Wheel Throwing II,0.5,PF,
ART,X759,Ceramic Studio I,0.5,PF,
ART,X760,Ceramics I,0.5,PF,
ART,X802,Art Workshop: Research and Practice,0.5,PF,
ART,X823,Art as Interface,0.5,PF,
ASC,X000,Introduction to Aviation,0.5,EL,
ASC,X562,Unmanned Aircraft Systems Op and Cross-Country Data Entry,0.5,EL,
ASL,X110,American Sign Language I (L),1,EL,
ASL,X120,American Sign Language II (L),1,EL,
ASL,X130,American Sign Language III (L),1,EL,
ASL,X131,American Sign Language III (U),0.5,EL,
ASL,X140,Basic American Sign Language,1,EL,
ASL,X150,Intermediate American Sign Language,1,EL,
ASL,X160,American Sign Language III (L),1,EL,
ASL,X161,American Sign Language III (U),1,EL,
ASL,X200,American Sign Language IV (L),1,EL,
ASL,X201,American Sign Language IV (4 hours),1,EL,
ASL,X210,American Sign Language IV (L),0.5,EL,
ASL,X211,American Sign Language IV (U) (3 hours),0.5,EL,
ASL,X510,Introduction to Deaf Culture,0.5,EL,
AST,X003,Descriptive Astronomy of Solar System,0.5,EQ,
AST,X003/L,Descriptive Astronomy of Solar System,1,EQ,
AST,X003C,Descriptive Astronomy of Solar System,1,EQ,
AST,X004,Descriptive Stellar Astronomy,0.5,EQ,
AST,X004/L,Descriptive Stellar Astronomy,1,EQ,
AST,X004C,Descriptive Stellar Astronomy,1,EQ,
AST,X005,Introduction to Astrobiology,0.5,EQ,
AST,X005C,Introduction to Astrobiology,1,EQ,
AST,X100,Solar System Astronomy,0.5,EQ,
AST,X100C,Solar System Astronomy,1,EQ,
ATF,X103,Private Pilot Operations,0.5,EL,
BCV,080L,Building Construction Assistant,1.5,CT,
BCV,X080,Building Construction Assistant,3,CT,
BCV,X081,Carpentry and Masonry Technician OCP B (150 hours),1,CT,
BCV,X082,Electrical and Plumbing Technician OCP C (150 hours),1,CT,
BCV,X083,A/C and Painting Technician,1,CT,
BCV,X107,Carpenter Helper OCP A (300 hours),2,CT,
BOT,X000,Plant Science,0.5,EQ,
BOT,X010,Introductory Botany,0.5,EQ,
BOT,X010/L,Introductory Botany,0.5,EQ,
BOT,X010C,Introductory Botany,1,EQ,
BOT,X011,Botany,0.5,EQ,
BOT,X011/L,Botany,0.5,EQ,
BOT,X011C,Botany,1,EQ,
BOT,X015,Plant Biology- Upper Level,0.5,EQ,
BOT,X015/L,Plant Biology- Upper Level,0.5,EQ,
BOT,X015C,Plant Biology- Upper Level,1,EQ,
BSC,X001,Orientation to Biology,0.5,EQ,
BSC,X007,"Bio Sci I: Cells, Organisms & Genetics",0.5,EQ,
BSC,X007/L,"Bio Sci I: Cells, Organisms & Genetics",0.5,DD,
BSC,X007C,"Bio Sci I: Cells, Organisms & Genetics",1,DD,
BSC,X009,Introduction to Biology,0.5,DD,
BSC,X009/L,Introduction to Biology,0.5,DD,
BSC,X009C,Introduction to Biology,1,DD,
BSC,X011,General Biology (Cont.),0.5,EQ,
BSC,X011/L,General Biology (Cont.),0.5,EQ,
BSC,X011C,General Biology (Cont.),1,EQ,
BSC,X020,Human Biology,0.5,EQ,
BSC,X020/L,Human Biology,0.5,DD,
BSC,X020C,Human Biology,1,DD,
BSC,X023,Human Biology: Disorders,0.5,EQ,
BSC,X025,Nutrition and Drugs,0.5,EQ,
BSC,X026,Intro Human Repro and Development,0.5,EQ,
BSC,X033,Issues in Biology,0.5,EQ,
BSC,X040C,Honors Biology I,1,EQ,
BSC,X050,Man & Environment,0.5,EQ,
BSC,X050C,Man & Environment,1,EQ,
BSC,X051C,Specialized Environmental Biology,1,EQ,
BSC,X080,Anatomy & Physiology (1 Sem.) (Non-Hs Maj) No Prereq,0.5,EQ,
BSC,X080/L,Anatomy & Physiology (1 Sem.) Non-Hs Maj.) No Prereq,0.5,EQ,
BSC,X083,Human Anatomy,0.5,EQ,
BSC,X083/L,Human Anatomy,0.5,EQ,
BSC,X084,Human  Anat  &  Phys  (HS  Majors/1  sem/No  Prereq),0.5,EQ,
BSC,X084/L,Human  Anat  &  Phys  (HS  Majors/1  sem/No  Prereq),0.5,EQ,
BSC,X084C,Human  Anat  &  Phys  (HS  Majors/1  sem/No Prereq),1,EQ,
BSC,X086,Anatomy & Physiology (2 of 2) (HS Maj.)  No  Prereq,0.5,EQ,
BSC,X086/L,Anatomy & Physiology (2 of 2) (HS Maj.)  No  Prereq,0.5,EQ,
BSC,X086C,Anatomy & Physiology (2 of 2) (HS Maj.)  No Prereq,1,EQ,
BSC,X092,Anatomy & Physiology (1 Sem) (HS Maj.) With  Prereq,0.5,EQ,
BSC,X092/L,Anatomy & Physiology (1 Sem) (HS Maj.) With Prereq,0.5,EQ,
BSC,X093,Anatomy & Physiology (1 of 2) (HS Maj.) With Prereq,0.5,EQ,
BSC,X093/L,Anatomy & Physiology (1 of 2) (HS Maj.) With  Prereq,0.5,EQ,
BSC,X093C,Anatomy & Physiology (1 of 2) (HS Maj.) With Prereq,1,EQ,
BSC,X094,Anatomy & Physiology (2 of 2) (HS Maj.) With  Prereq,0.5,EQ,
BSC,X094/L,Anatomy & Physiology (2 of 2) (HS Maj.) With  Prereq,0.5,EQ,
BSC,X094C,Anatomy & Physiology (2 of 2) (HS Maj.) With Prereq,1,EQ,
BSC,X250,Flora & Fauna of Florida,0.5,EQ,
BSC,X250C,Flora & Fauna of Florida,1,EQ,
BSC,X311,Introduction to Marine Biology,0.5,EQ,
BSC,X311/L,Introduction to Marine Biology,0.5,EQ,
BSC,X311C,Introduction to Marine Biology,1,EQ,
BSC,X312,Marine Biology (Broad Concepts),0.5,EQ,
BSC,X312C,Marine Biology (Broad Concepts),1,EQ,
BSC,X420,Biotechnology,0.5,EQ,
BSC,X420/L,Biotechnology,0.5,EQ,
BSC,X420C,Biotechnology,1,EQ,
BSC,X421,Biotechnology in Industry,0.5,EQ,
BSC,X421/L,Biotechnology in Industry,0.5,EQ,
BSC,X421C,Biotechnology in Industry,1,EQ,
BSC,X427,Biotechnology Methods II,0.5,EQ,
BSC,X427/L,Biotechnology Methods II,0.5,EQ,
BSC,X427C,Biotechnology Methods II,1,EQ,
BUL,X241,Traditional Business Law,0.5,EL,
CCJ,X010,Introduction to Criminology,0.5,EL,
CCJ,X020,Introduction to Criminal Justice,0.5,EL,
CGS,X000,Computer Literacy: Business,0.5,EL,
CGS,X060,Computer Literacy,0.5,EL,
CGS,X060C,Computer Literacy,1,EL,
CGS,X100,Applications for Business,0.5,EL,
CHI,X100,Elementary Chinese I,0.5,EL,
CHI,X120,"Elementary Chinese I, Concentrated",1,EL,
CHI,X121,"Elementary Chinese II, Concentrated",1,EL,
CHI,X130,Elementary Chinese Accelerated I,1,EL,
CHI,X131,Elementary Chinese Accelerated II,1,EL,
CHI,X200,Intermediate Chinese I,0.5,EL,
CHI,X201,Intermediate Chinese II,0.5,EL,
CHI,X220,Second Year Chinese Conversation,1,EL,
CHI,X221,Second Year Chinese Conversation,1,EL,
CHI,X230,Intermediate Chinese I (5 Credit Hours),1,EL,
CHI,X231,Intermediate Chinese II (5 Credit Hours),1,EL,
CHM,025C,Introduction to General Chemistry,1,EQ,
CHM,X023,General Chemistry II,0.5,EQ,
CHM,X025,Introduction to General Chemistry,0.5,EQ,
CHM,X025/L,Introduction to General Chemistry,0.5,EQ,
CHM,X030,Sci Allied Fields-Gen/Org/Biochm (1 of 2),0.5,EQ,
CHM,X030/L,Sci Allied Fields-Gen/Org/Biochm (1 pf 2),0.5,EQ,
CHM,X031,Sci Allied Fields-Gen/Org/Biochm (2 of 2),0.5,EQ,
CHM,X031/L,Sci Allied Fields-Gen/Org/Biochm (2 of 2),0.5,EQ,
CHM,X031C,Sci Allied Fields-Gen/Org/Biochm (2 of 2),1,EQ,
CHM,X032,Gen Chem Sci Allied Fields (One Semester),0.5,EQ,
CHM,X032/L,Gen Chem Sci Allied Fields (One Semester),0.5,EQ,
CHM,X032C,Gen Chem Sci Allied Fields (One Semester),1,EQ,
CHM,X033,Sci Allied Fields-Gen/Org/Biochm (1 Sem),0.5,EQ,
CHM,X033/L,Sci Allied Fields-Gen/Org/Biochm (1 Sem),0.5,EQ,
CHM,X033C,Sci Allied Fields-Gen/Org/Biochm (1 Sem),1,EQ,
CHM,X040,General Chem (Expanded Sequence: 1 of 3),0.5,EQ,
CHM,X040/L,General Chem (Expanded Sequence: 1 of 3),0.5,EQ,
CHM,X041,General Chem (Expanded Sequence: 2 of 3),0.5,EQ,
CHM,X046,General Chemistry II (Last Course in Sequence),0.5,EQ,
CHM,X046/L,General Chemistry II (Last Course in Sequence),0.5,EQ,
CHM,X046C,General Chemistry II (Last Course in Sequence),1,EQ,
CHM,X083,Consumer Chemistry,0.5,EQ,
CHM,X084,Environmental Chemistry,0.5,EQ,
CHM,X084/L,Environmental Chemistry,0.5,EQ,
CHM,X084C,Environmental Chemistry,1,EQ,
CHM,X120,Quantitative Analysis,0.5,EQ,
CHM,X120/L,Quantitative Analysis,0.5,EQ,
CHM,X120C,Quantitative Analysis,1,EQ,
CHM,X200,Brief Organic Chemistry,0.5,EQ,
CHM,X200/L,Brief Organic Chemistry,0.5,EQ,
CHM,X205,Survey of Organic/Bio Chemistry,0.5,EQ,
CHM,X205/L,Survey of Organic/Bio Chemistry,0.5,EQ,
CHM,X205C,Survey of Organic/Bio Chemistry,1,EQ,
CHM,X210,Organic Chemistry,0.5,EQ,
CHM,X210/L,Organic Chemistry,0.5,EQ,
CHM,X210C,Organic Chemistry,1,EQ,
CHM,X211,Organic Chemistry (Cont.),0.5,EQ,
CHM,X211/L,Organic Chemistry (Cont.),0.5,EQ,
CHM,X211C,Organic Chemistry (Cont.),1,EQ,
CLP,X000,Basic Adjustment (L),0.5,EL,
CLP,X001,Elementary Adjustment (L),0.5,EL,
CLP,X006,Psychology of Personal Effectiveness,0.5,EL,
CLP,X140,Basic Psychopathology,0.5,EL,
CRW,X001,Creative Writing I,0.5,EN,
CTS,X001,Operating Sys Fund,0.5,CT,
CTS,X017,Cybersecurity Associate IV,1,CT,
CTS,X018,Cybersecurity Associate,0.5,CT,
CTS,X049,Web Scripting,0.5,CT,
CTS,X070,Web Design Foundations,0.5,CT,
CTS,X071,Web Interface Design,0.5,CT,
CTS,X073,Web Development Fundamentals,0.5,CT,
DAA,X000,Survey of More Than One Type of Dance-Many Genres (L),0.5,PF,
DAA,X100,Contemporary/Modern Dance I for Non-Majors (L),0.5,PF,
DAA,X101,Contemporary/Modern Dance II for Non-Majors (L),0.5,PF,
DAA,X104,Contemporary/Modern Dance I for Majors,0.5,PF,
DAA,X105,Contemporary/Modern Dace II For Majors,0.5,PF,
DAA,X108,Contemporary/Modern Dance V for Majors (U),0.5,PF,
DAA,X200,Ballet,0.5,PF,
DAA,X201,Ballet II for Non-Majors (L),0.5,PF,
DAA,X204,Ballet I for Majors (L),0.5,PF,
DAA,X205,Ballet II for Majors (L),0.5,PF,
DAA,X206,Ballet III for Majors (L),0.5,PF,
DAA,X207,Ballet IV for Majors (L),0.5,PF,
DAA,X290,Special Studies in Ballet (L),0.5,PF,
DAA,X500,Jazz Dance I for Non-Majors (L),0.5,PF,
DAA,X504,Jazz Dance I for Majors (L),0.5,PF,
DAA,X505,Jazz Dance II for Majors (L),0.5,PF,
DAA,X570,Musical Theatre Jazz (L),0.5,PF,
DAA,X610,"Dance Composition/Choreography, May Include Improvisation (L)",0.5,PF,
DAA,X611,"Dance Composition/Choreography, May Include  Improvisation (L)",0.5,PF,
DAN,X100,Appreciation/Survey of Dance (L),0.5,PF,
DAN,X120,History and Philosophy of Dance (Single Course) (L),0.5,PF,
DAN,X130,History and Philosophy of Dance (Two Course Sequence)  (L),0.5,PF,
DAN,X600,Music and Dance (Single Course) (L),0.5,PF,
DAN,X631,Music and Dance (Four Course Sequence) (L),0.5,PF,
DEP,X000,Basic Developmental Psychology/Non-Major (L),0.5,EL,
DEP,X004,Principles of Development. Psy/Life Span,0.5,EL,
DIG,X060,3-D Animation Production Assistant,1,CT,
DIG,X061,Modeler,2,CT,
DIG,X062,Texture Artist/Rigger,2,CT,
DIG,X063,Animation/Motion Capture Technician,2,CT,
DIG,X070,Game/Simulation Designer,2,CT,
DIG,X071,Game/Simulation Graphic Artist,1,CT,
DIG,X072,Game/Simulation 3D Animator,1,CT,
DIG,X073,Digital Media Artist,1,CT,
DIG,X074,Digital Media Specialist,1,CT,
DIG,X081,Theory and Foundations of Design,1,CT,
DIG,X082,Multimedia Digital/Print Designer,0.5,CT,
DIG,X115,Digital Imaging,0.5,PF,
ECO,X000,Survey of Economics,0.5,EC,
ECO,X023,Prin of Economics Micro,0.5,EC,
EDF,X005,Introduction to the Teaching Profession,0.5,EL,
EDF,X085,Introduction to Diversity for Educators,0.5,EL,
EME,X040,Introduction To Technology For Educators,0.5,EL,
ENC,X133,Library Research and Writing,0.5,EN,
ENC,X141,Writing About Literature,1,EN,
ENC,X145,Special Topics in Freshman English,1,EN,
ENG,X012,Approaches to Literary Criticism,1,EN,
ENG,X100,Introduction to Film,0.5,EN,
ENL,X000,British Literature Survey: Comprehension,1,EN,
ENL,X010,English Literature to 1660,1,EN,
ENL,X012,English Literature through 18th Century,1,EN,
ENL,X022,English Literature since 18th Century,1,EN,
ENL,X230,Restoration and 18th Century Literature,1,EN,
ENL,X251,Victorian and Edwardian Literature,1,EN,
ENL,X273,Modern British Literature,1,EN,
ENT,X000,Introduction to Entrepreneurship,0.5,EL,
ENY,X040,The Insects,0.5,EQ,
ESC,X070,Global Change,0.5,EQ,
ESC,X070/L,Global Change,0.5,EQ,
EUH,X000,Survey of Western Civilization I,0.5,EL,
EVS,X001,Introduction to Environmental Science,0.5,EQ,
FIL,X000,Introduction to Film Studies (L),0.5,PF,
FIL,X001,Introduction to Film Production,0.5,PF,
FIL,X002,Appreciation of Film I,0.5,PF,
FIL,X003,Appreciation of Film II,0.5,PF,
FIL,X030,History of Motion Pictures (L),0.5,PF,
FIL,X100,Screen Writing,0.5,PF,
FIL,X420,Introduction to Film Production I (L),0.5,PF,
FIL,X423,Filmmaking I (L),0.5,PF,
FIL,X432,Motion Picture and Television Prod II (L),0.5,PF,
FIN,X100,Personal Finance,0.5,PL,
FIN,X140,Personal Finance,0.5,PL,
FRE,X100,Elementary French I,0.5,EL,
FRE,X101,Elementary French II,0.5,EL,
FRE,X120,"Elementary French I, Concentrated",1,EL,
FRE,X121,"Elem French II, Concentrated",1,EL,
FRE,X130,Elementary French I Accelerated,1,EL,
FRE,X131,Elementary French II Accelerated,1,EL,
FRE,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,
FRE,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,
FRE,X210,Intermediate Conversation & Comp I,0.5,EL,
FRE,X211,Intm Reading and Conv Accelerated II,1,EL,
FRE,X220,Intermediate Reading and Conversation,1,EL,
FRE,X221,Interm Reading and Conversation II,1,EL,
FRE,X230,Reading in French Literature & Culture,1,EL,
FRE,X231,Intermediate French Reading II,1,EL,
FRE,X240,Intermediate Conversation I,0.5,EL,
FRE,X241,Intermediate French Conversation II,0.5,EL,
GEB,X011,Introduction to Business,0.5,EL,
GER,X100,Elementary German I,0.5,EL,
GER,X101,Elementary German II,0.5,EL,
GER,X110,Elementary Conversational German,1,EL,
GER,X111,Elementary Conversational German II,1,EL,
GER,X120,"Elementary German I, Concentrated",1,EL,
GER,X121,"Elementary German II, Concentrated",1,EL,
GER,X130,Elementary German I- Accelerated,1,EL,
GER,X131,Elementary German II- Accelerated,1,EL,
GER,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,
GER,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,
GER,X220,Intermediate German Reading and Conversation 1,1,EL,
GER,X221,Intermediate German Reading and Conversation II,1,EL,
GER,X240,Intermediate Conversation I,0.5,EL,
GLY,X000,Introduction to Geology,0.5,EQ,
GLY,X000/L,Introduction to Geology,0.5,EQ,
GLY,X000C,Introduction to Geology,1,EQ,
GLY,X001,Elements of Earth Science,0.5,EQ,
GLY,X030,Environmental Geology,0.5,EQ,
GLY,X030C,Environmental Geology,1,EQ,
GLY,X100,Historical Geology,0.5,EQ,
GLY,X100/L,Historical Geology,0.5,EQ,
GLY,X100C,Historical Geology,1,EQ,
GRA,X014,Layout Design/Planner,3,CT,
GRA,X024,Production Assistant,1,CT,
GRA,X025,Digital Assistant Designer,2,CT,
GRA,X026,Graphic Designer,2,CT,
GRA,X027,Media Designer,2,CT,
GRA,X036,Desktop Publishing Assistant/Graphic Designer,3,CT,
GRA,X037,Design Technician/Digital Designer,3,CT,
GRA,X038,Illustrator/Print Media Artist,2,CT,
GRA,X039,Print Media Artist/Web Designer,2,CT,
GRA,X100,Introduction to Graphic Design,0.5,PF,
GRA,X103,Computer Based Design,0.5,PF,
GRA,X109,History and Aesthetics of Design,0.5,PF,
GRA,X111,Graphic Design I,0.5,PF,
GRA,X129,Visualization Basics,0.5,PF,
GRA,X142,Digital Media Design,0.5,PF,
GRA,X151,Computer Illustration,0.5,PF,
GRA,X152,Electronic Illustration,0.5,PF,
GRA,X190,Graphics Design,0.5,PF,
HBR,X102,Beginning Hebrew,1,EL,
HBR,X103,Beginning Hebrew,1,EL,
HBR,X120,Elementary Hebrew I,1,EL,
HBR,X121,Elementary Hebrew II,1,EL,
HBR,X130,"Elementary Hebrew I, Accelerated",1,EL,
HBR,X131,"Elementary Hebrew II, Accelerated",1,EL,
HBR,X200,Intm Lang: Gen Rev Basic Skills I,0.5,EL,
HBR,X201,Intm Lang: Gen Rev Basic Skills II,0.5,EL,
HBR,X220,Intermediate Hebrew Reading and Conversation I,1,EL,
HBR,X221,Intermediate Hebrew Reading and Conversation II,1,EL,
HBR,X222,Intermediate Hebrew,1,EL,
HEV,X872,Teacher Aide (Preschool),1,CT,
HLP,X081,Personal Wellness Appraisal & Improvement,0.5,PE,
HLP,X082,Personal Wellness Appraisal & Improvement II,0.5,PE,
HLP,X083,Human Performance,0.5,PE,
HSC,X100,Personal Health,0.5,PE,
HSC,X101,Personal Health Potential,0.5,PE,
HSC,X102,Healthful Living I,0.5,PE,
HUM,X210,Ancient Times Through the Renaissance,0.5,EL,
HUM,X250,Modern and Contemporary Periods,0.5,EL,
HUM,X310,Mythology in Art and Literature,0.5,EL,
HUN,X003,"Wellness: Nutri., Personal Growth, Fitness",0.5,PE,
HUN,X201,Human Nutrition,0.5,EL,
HUN,X270,Nutrition and Fitness,0.5,PE,
IDS,X107,Strategies For Success,0.5,EL,
IDS,X891,Connections A.A. Capstone,0.5,EL,
INR,X002,Introduction to International Relations,0.5,EL,
ISC,X001C,Integrated,1,EQ,
ISC,X002C,Integrated,1,EQ,
ISC,X003,"Global   Change,   Its   Scientific   and   Human  Dimensions",0.5,EQ,
ISC,X006,Wide World of Science I,0.5,EQ,
ISC,X006C,Wide World of Science I,1,EQ,
ISC,X007C,Wide World of Science II,1,EQ,
ISS,X120,Political and Economic Institutions,0.5,EL,
ITA,X110,Elementary Conversational Italian I,1,EL,
ITA,X111,Elementary Conversational Italian II,1,EL,
ITA,X120,Elementary Italian I- Concentrated,1,EL,
ITA,X121,Elementary Italian II- Concentrated,1,EL,
ITA,X130,Elementary Accelerated Italian I,1,EL,
ITA,X131,Elementary Accelerated Italian II,1,EL,
ITA,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,
ITA,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,
ITA,X220,Intermediate Italian Reading and Conversation I,1,EL,
ITA,X221,Intermediate Italian Reading and Conversation II,1,EL,
